rating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
1.4,,,,,,,,,,,,7.1,,0.4,,,,,
1.5,,,,,0.1,,,,,,,,,,,,,,
1.8,,,,,0.2,,0.1,,,,,,,,,3.2,,,
2.8,,,,,,,0.2,0.6,,,,,,0.8,,,,,
3.2,,,,,,,0.3,,,,,,,,,,,,
3.4,0.2,0.2,,,,0.2,0.4,,,,,,,1.2,,,,,
3.5,,,,,0.3,,0.4,,0.4,,0.8,,,,,,,,
3.6,,,,,0.4,,0.5,1.2,,,,,,,,,,,
3.7,,,,,0.6,,0.6,,,,,,,,,,,,
3.8,0.3,0.4,,,0.7,,0.7,1.7,1.1,,,14.3,,,,,0.6,,
3.9,0.5,0.6,,,0.8,,0.8,2.3,,,,,,,0.6,,,,
4.0,,,,,0.9,,,,,,,,,,,,,,
4.1,0.7,,,,,,0.9,,,0.8,,,,,,,,,
4.2,0.8,0.8,0.2,,1.0,,1.0,,,,,,,,1.2,,,,
4.3,,,0.5,,1.1,,1.0,2.9,,,1.6,,,,1.8,,,,
4.6,,1.0,,,,,1.1,,,,,,0.3,1.6,,,,,
4.7,,,,,1.2,0.3,1.2,3.8,1.8,,,,0.6,2.2,,,,,
4.8,,,,,,,1.3,,,,,,,,2.4,,,,
4.9,1.0,,,,1.3,0.5,1.4,4.6,,,,,,,,,,,
5.0,1.2,1.3,0.7,,1.4,,1.5,5.5,,,,,,,3.0,,,,
5.1,1.6,1.7,1.1,,1.6,,1.7,6.7,,,,,,3.3,3.6,,,,
5.2,,2.0,,,1.8,,1.8,7.6,,,,,0.8,,,,,,
5.3,1.9,2.2,,,2.1,0.8,2.0,8.1,,1.7,,,,4.1,,,1.1,,
5.4,2.3,2.6,1.5,,2.3,,2.3,,,2.6,3.2,,1.3,4.7,4.5,,1.6,,
5.5,2.6,3.1,1.9,,2.5,1.1,2.6,,2.2,,4.7,,1.8,,,,2.2,,
5.6,2.8,3.6,,,2.7,1.3,2.7,,,,,,2.2,5.3,,,3.0,,
5.7,,3.9,,,3.0,,2.9,8.7,2.6,,,,,5.7,,,,,
5.8,3.1,4.1,2.4,,3.2,,3.2,9.3,3.3,,6.3,,2.5,,5.7,,3.8,,
5.9,3.6,4.5,,,3.3,1.7,3.5,9.9,4.2,,7.9,,3.1,6.1,,,4.4,,
6.0,4.0,5.2,,,3.8,2.2,4.0,11.6,5.3,,,,3.6,6.7,6.6,,,,
6.1,4.4,,2.7,,4.7,2.5,4.6,13.9,6.6,,9.8,,4.1,7.9,7.8,6.4,5.2,,
6.2,5.2,6.0,3.0,,5.4,2.8,5.3,15.4,7.9,3.4,11.8,,4.6,8.9,9.3,,6.6,,
6.3,6.0,6.6,3.2,,5.9,3.4,6.1,16.6,8.8,,13.0,,5.3,10.4,10.8,,8.2,,
6.4,6.8,7.3,3.5,1.5,6.8,4.4,7.0,17.7,10.4,,,21.4,6.4,12.4,12.3,,9.9,,
6.5,8.2,8.7,4.0,2.9,7.9,5.5,8.2,19.8,12.6,4.7,15.7,,8.0,13.6,13.2,,11.3,,
6.6,10.0,11.0,5.2,4.4,9.9,6.9,9.5,24.1,14.8,6.0,,,9.5,14.8,15.6,,12.4,,
6.7,12.2,13.7,6.4,6.6,12.2,8.4,11.2,29.1,16.7,7.3,19.3,,11.6,16.7,18.9,,13.7,,
6.8,15.1,16.5,8.1,,14.2,10.1,13.4,32.6,18.9,,23.2,,14.7,18.5,20.7,,15.7,,9.1
6.9,18.5,19.0,10.2,,16.0,12.2,16.0,36.3,21.6,8.6,26.8,28.6,17.7,19.9,23.7,,19.0,,
7.0,21.5,21.2,12.2,8.8,18.7,14.6,18.9,40.1,24.7,10.7,28.7,,20.5,23.2,27.8,9.7,22.8,,
7.1,24.4,23.7,14.3,11.0,22.2,18.4,22.1,42.7,30.2,12.8,32.7,35.7,23.7,26.6,32.0,,26.1,,
7.2,28.0,27.6,17.2,,26.0,22.1,25.6,47.7,36.3,14.5,39.0,,27.4,29.5,37.7,12.9,29.4,,
7.3,33.1,33.3,22.0,14.0,30.2,26.2,30.3,52.9,41.4,18.4,45.3,46.4,31.7,34.1,45.2,,33.8,3.3,18.2
7.4,37.9,38.2,26.1,19.9,34.6,31.2,35.6,57.0,46.5,22.6,51.2,,37.4,40.6,52.1,17.7,38.7,10.0,
7.5,42.2,43.0,29.7,25.7,39.5,36.4,41.5,61.9,52.2,24.8,57.9,,43.9,48.2,57.5,24.2,43.4,16.7,31.8
7.6,47.7,47.6,34.5,30.1,43.9,42.5,47.9,66.6,57.7,27.8,64.2,,50.4,53.7,62.3,33.9,48.9,21.7,
7.7,53.4,51.6,39.1,36.8,47.5,48.7,53.4,70.4,62.6,32.0,68.9,57.1,56.6,57.7,67.1,43.6,53.8,,50.0
7.8,57.9,56.6,43.9,44.1,52.1,54.2,57.7,73.3,67.4,36.3,72.4,64.3,61.3,62.0,71.9,,58.5,28.3,
7.9,62.1,62.1,51.1,52.2,57.3,59.9,61.9,75.9,70.9,43.6,75.6,,66.1,66.3,76.0,48.4,63.5,,
8.0,67.0,67.8,58.7,59.6,62.7,65.4,66.5,77.9,73.4,52.6,79.5,,70.2,70.5,80.8,54.8,67.3,33.3,63.6
8.1,71.5,72.6,65.0,66.2,68.4,70.5,71.4,79.4,77.1,60.7,83.9,71.4,74.4,77.0,85.3,62.9,71.7,41.7,
8.2,76.2,77.4,71.1,72.1,74.3,75.2,76.5,81.4,83.3,65.4,88.2,,79.1,83.1,88.0,71.0,76.4,50.0,
8.3,81.5,82.3,76.6,75.7,80.1,79.4,81.2,84.3,89.2,68.0,90.6,82.1,82.7,86.6,90.1,80.6,79.7,55.0,77.3
8.4,86.1,86.1,81.4,78.7,84.9,84.0,85.3,88.4,92.5,70.9,92.1,,86.7,89.6,93.1,87.1,83.0,60.0,
8.5,89.9,89.3,86.4,84.6,88.8,88.4,89.0,91.9,94.9,76.1,94.9,96.4,90.5,92.1,96.1,90.3,86.3,65.0,
8.6,93.2,92.3,90.8,89.7,92.6,92.1,92.3,94.5,97.1,81.2,97.2,,93.7,94.5,97.9,95.2,89.3,,
8.7,95.8,94.7,94.4,,95.4,94.8,94.8,96.8,98.5,85.0,98.4,,96.5,97.0,,,92.0,71.7,95.5
8.8,97.4,96.3,96.8,92.7,97.3,96.3,96.5,,,89.3,,,98.0,99.0,99.1,100.0,94.2,78.3,
8.9,98.2,97.1,97.6,95.6,98.5,97.6,97.5,,,91.4,,,98.7,,,,96.1,83.3,
9.0,98.8,98.1,98.5,,98.8,98.4,98.1,97.7,99.1,93.2,99.2,,,,100.0,,97.2,90.0,
9.1,99.2,98.9,99.3,97.1,99.2,98.8,98.6,98.8,,95.3,,,99.3,100.0,,,,96.7,
9.2,99.3,99.4,99.5,98.5,99.6,99.0,98.9,,99.6,97.0,,,,,,,,100.0,
9.3,99.5,99.8,99.8,,,99.3,99.2,,,,,,99.7,,,,97.8,,
9.4,99.8,100.0,100.0,,99.8,99.5,99.4,100.0,100.0,98.7,100.0,,,,,,98.6,,
9.5,,,,100.0,,99.8,99.6,,,,,,,,,,99.7,,
9.6,100.0,,,,,,99.8,,,100.0,,,100.0,,,,,,
9.7,,,,,,,100.0,,,,,,,,,,,,
9.8,,,,,100.0,,,,,,,,,,,,,,
